734418,20101008,     5,  1,  27,     2, -1,  24
734419,20101009,     7, -1,  13,     6,  1,   9
734424,20101014,     8,  1,  20,     6, -1,   6
734425,20101015,     1, -1,  35,     3,  1,  27
734426,20101016,     4, -1,  45,     7,  1,  14
734432,20101022,     6, -1,  38,     1,  1,  30
734433,20101023,     3,  1,  26,     2, -1,   0
734433,20101023,     4,  1,  41,     5, -1,  21
734433,20101023,     7, -1,  19,     8,  1,  14
734439,20101029,     2,  1,  16,     8, -1,  13
734440,20101030,     7, -1,  31,     1,  1,   7
734440,20101030,     4,  1,  20,     3, -1,   3
734444,20101103,     6,  1,  28,     5, -1,  27
734447,20101106,     3, -1,  28,     7,  1,  20
734452,20101111,     2,  1,  30,     4, -1,  28
734454,20101113,     8,  1,  37,     1, -1,  10
734454,20101113,     6, -1,  24,     3,  1,  21
734454,20101113,     7, -1,  13,     5,  1,  10
734461,20101120,     1,  1,  69,     5, -1,  38
734461,20101120,     2, -1,  23,     7,  1,   6
734461,20101120,     8, -1,  17,     3,  1,  10
734461,20101120,     4, -1,  17,     6,  1,  10
734467,20101126,     3, -1,  40,     5,  1,  13
734467,20101126,     8, -1,  35,     4,  1,  10
734468,20101127,     2,  1,  38,     1, -1,  17
734475,20101204,     4, -1,  28,     1,  1,  10
734475,20101204,     2, -1,  19,     6,  1,  16
734475,20101204,     8,  1,  35,     5, -1,  14
