734774,20110929,     4,  1,  44,     6, -1,  17
734776,20111001,     5, -1,  19,     7,  1,  16
734783,20111008,     5,  1,  34,     4, -1,  10
734783,20111008,     8,  1,  43,     2, -1,  16
734790,20111015,     1,  1,  25,     3, -1,  16
734790,20111015,     2,  1,  16,     6, -1,  10
734796,20111021,     3,  1,  16,     5, -1,  14
734796,20111021,     7,  1,  49,     8, -1,  23
734797,20111022,     1, -1,  37,     6,  1,  34
734801,20111026,     4,  1,  35,     2, -1,  20
734804,20111029,     3,  1,  27,     7, -1,  10
734804,20111029,     8, -1,  41,     5,  1,  31
734811,20111105,     3, -1,  38,     8,  1,  35
734811,20111105,     2,  1,  28,     7, -1,  21
734811,20111105,     1, -1,  26,     4,  1,  23
734811,20111105,     5,  1,  20,     6, -1,  17
734817,20111111,     6, -1,  37,     7,  1,  17
734818,20111112,     8, -1,  24,     1,  1,  21
734818,20111112,     4, -1,  21,     3,  1,  14
734825,20111119,     3, -1,  34,     2,  1,  20
734825,20111119,     5,  1,  20,     1, -1,   3
734831,20111125,     8,  1,  21,     4, -1,  20
734831,20111125,     3, -1,  34,     6,  1,  24
734832,20111126,     2,  1,  40,     5, -1,  22
734832,20111126,     1, -1,  30,     7,  1,  13
734837,20111201,     8, -1,  30,     6,  1,  27
734839,20111203,     4,  1,  33,     7, -1,  20
734839,20111203,     1,  1,  35,     2, -1,  27
