730387,19990925,     1, -1,  27,     4,  1,   7
730387,19990925,     5,  1,  30,     8, -1,   7
730394,19991002,     3,  1,  55,     6, -1,  24
730399,19991007,     5, -1,  24,     3,  1,  17
730401,19991009,     6,  1,  24,     1, -1,  14
730401,19991009,     7, -1,  58,     4,  1,  20
730408,19991016,     1,  1,  20,     3, -1,  16
730408,19991016,     7,  1,  62,     5, -1,   0
730408,19991016,     8,  1,  62,     4, -1,  16
730415,19991023,     2, -1,  31,     1,  1,  28
730415,19991023,     3, -1,  38,     4,  1,  15
730415,19991023,     8,  1,  20,     6, -1,  17
730422,19991030,     1, -1,  24,     5,  1,  23
730422,19991030,     2,  1,  28,     8, -1,  20
730422,19991030,     6,  1,  56,     4, -1,  28
730422,19991030,     7, -1,  30,     3,  1,  17
730429,19991106,     2, -1,  33,     3,  1,   3
730429,19991106,     5,  1,  27,     6, -1,  10
730429,19991106,     7, -1,  22,     8,  1,  20
730436,19991113,     1,  1,  34,     8, -1,  17
730436,19991113,     4,  1,  24,     5, -1,  21
730436,19991113,     7,  1,  43,     2, -1,  10
730443,19991120,     2,  1,  55,     4, -1,   0
730443,19991120,     7, -1,  62,     6,  1,   7
730449,19991126,     7,  1,  38,     1, -1,  14
730450,19991127,     2,  1,  45,     5, -1,  13
730450,19991127,     8,  1,  52,     3, -1,  21
730457,19991204,     2,  1,  55,     6, -1,   0
