728908,19950907,     1, -1,  20,     7,  1,  14
728910,19950909,     8,  1,  24,     6, -1,  13
728924,19950923,     7,  1,  13,     2, -1,   7
728931,19950930,     5, -1,  27,     4,  1,  17
728931,19950930,     7, -1,  26,     3,  1,  16
728938,19951007,     1,  1,  17,     3, -1,   0
728938,19951007,     5,  1,  31,     6, -1,  14
728945,19951014,     2,  1,  56,     4, -1,  21
728945,19951014,     6,  1,  29,     3, -1,  27
728945,19951014,     8, -1,  31,     1,  1,  19
728952,19951021,     2, -1,  17,     3,  1,  16
728952,19951021,     5,  1,  22,     8, -1,   0
728952,19951021,     7, -1,  45,     4,  1,  17
728959,19951028,     2,  1,  36,     6, -1,  12
728959,19951028,     4,  1,  42,     3, -1,  24
728959,19951028,     7, -1,  27,     8,  1,   0
728966,19951104,     1, -1,  10,     6,  1,   9
728966,19951104,     7,  1,  31,     5, -1,   7
728966,19951104,     8,  1,  59,     4, -1,  26
728973,19951111,     2, -1,  17,     1,  1,  14
728973,19951111,     5, -1,  42,     3,  1,  10
728973,19951111,     7,  0,  38,     6,  0,  16
728980,19951118,     2,  1,  17,     8, -1,  12
728980,19951118,     4, -1,  23,     6,  1,  20
728980,19951118,     5,  1,  58,     1, -1,  29
728986,19951124,     1, -1,  41,     4,  1,  38
728986,19951124,     8,  1,  21,     3, -1,   0
728987,19951125,     2,  1,  35,     5, -1,  24
