734022,20090907,     1, -1,  47,     5,  1,  15
734047,20091002,     4, -1,  35,     3,  1,  10
734048,20091003,     6, -1,  34,     7,  1,  20
734055,20091010,     8, -1,  34,     7,  1,  13
734055,20091010,     4,  1,  24,     2, -1,  21
734060,20091015,     1, -1,  34,     6,  1,  17
734061,20091016,     4, -1,  24,     5,  1,  17
734062,20091017,     2,  1,  38,     3, -1,  25
734069,20091024,     8,  1,  28,     2, -1,  24
734069,20091024,     4,  1,  41,     6, -1,  14
734069,20091024,     1,  1,  41,     3, -1,  10
734075,20091030,     6,  1,  30,     8, -1,  19
734076,20091031,     1, -1,  28,     7,  1,   7
734076,20091031,     5, -1,  28,     2,  1,  24
734083,20091107,     8,  1,  17,     3, -1,   9
734083,20091107,     1,  1,  47,     2, -1,  45
734083,20091107,     4,  1,  37,     7, -1,  10
734088,20091112,     5,  1,  31,     6, -1,   0
734089,20091113,     1,  1,  24,     8, -1,  21
734090,20091114,     3,  1,  10,     7, -1,   9
734097,20091121,     6,  1,  34,     3, -1,  22
734097,20091121,     7,  1,  31,     5, -1,  13
734103,20091127,     5, -1,  34,     3,  1,  14
734103,20091127,     8,  1,  19,     4, -1,  16
734104,20091128,     2,  1,  56,     7, -1,  31
734111,20091205,     8, -1,  24,     5,  1,  21
734111,20091205,     1, -1,  45,     4,  1,  44
734111,20091205,     2,  1,  29,     6, -1,  27
